Input,Output,Frequency,Dep-i,Dep-u,Dep-e,Dep-o,Dep-a,Dep-i/i,Dep-u/i,Dep-e/i,Dep-o/i,Dep-a/i,Dep-i/u,Dep-u/u,Dep-e/u,Dep-o/u,Dep-a/u,Dep-i/e,Dep-u/e,Dep-e/e,Dep-o/e,Dep-a/e,Dep-i/o,Dep-u/o,Dep-e/o,Dep-o/o,Dep-a/o,Dep-i/a,Dep-u/a,Dep-e/a,Dep-o/a,Dep-a/a,Dep-i/C__T,Dep-u/C__T,Dep-e/C__T,Dep-o/C__T,Dep-a/C__T,Dep-i/labial,Dep-u/labial,Dep-e/labial,Dep-o/labial,Dep-a/labial,Dep-i/coronal,Dep-u/coronal,Dep-e/coronal,Dep-o/coronal,Dep-a/coronal,Dep-i/dorsal,Dep-u/dorsal,Dep-e/dorsal,Dep-o/dorsal,Dep-a/dorsal,Dep-i/liquid,Dep-u/liquid,Dep-e/liquid,Dep-o/liquid,Dep-a/liquid
buuk,buuka,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
vir,viri,21,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
vir,viru,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
vir,vire,0,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
vir,viro,3,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
vir,vira,5,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ver,veri,11,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
ver,veru,0,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
ver,vere,9,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
ver,vero,16,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
ver,vera,18,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
minarar,minarari,14,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
minarar,minararu,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
minarar,minarare,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
minarar,minararo,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
minarar,minarara,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
hor,hori,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
hor,horu,0,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
hor,hore,0,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
hor,horo,34,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
hor,hora,4,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
fur,furi,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
fur,furu,22,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
fur,fure,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
fur,furo,18,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
fur,fura,3,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
speja,sipeja,106,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
speja,supeja,0,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
speja,sepeja,0,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
speja,sopeja,0,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
speja,sapeja,0,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
fridZi,firidZi,16,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
fridZi,furidZi,10,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
fridZi,feridZi,0,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
fridZi,foridZi,0,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
fridZi,faridZi,0,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
profiti,pirofiti,0,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
profiti,purofiti,7,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
profiti,perofiti,0,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
profiti,porofiti,4,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
profiti,parofiti,0,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
preSa,pireSa,0,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,
preSa,pureSa,66,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
preSa,pereSa,0,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,
preSa,poreSa,0,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,
preSa,pareSa,0,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1
driNgi,diriNgi,31,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
driNgi,duriNgi,8,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
driNgi,deriNgi,1,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
driNgi,doriNgi,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,
