"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	"USE_FRONT/bilabial__"	"USE_FRONT/[+cor,+son]__"	"USE_FRONT/sibilant__"	"USE_FRONT/CC__"	"USE_BACK/[C0i:C0]__"
3.38311890081975	1.0876933882724	0.936036815207903	1.83827837449429	2.62418959464908	1.59320472553195	0.63931667107049	0.759962933397935	0.966830046956681	1.47643153830993
3.44476521138819	0.989033315928495	0.873183574348405	2.10761500332298	2.50675006780361	1.70364779206037	0.647289748101097	0.821069830678497	1.21677160036085	2.1874097984435
3.5885588110129	1.16379500207072	0.875338956111774	2.18071306357567	3.19582546908094	1.87427050328768	0.213798851384256	0.434678684545806	1.24425382846874	0.843051943682827
3.32318705193152	1.17666153058402	0.808782220547349	2.0856772501834	2.43527989476657	1.82411824062959	0.306086470133135	0.617817723483367	1.0996408048034	2.20693776768374
3.50904970558256	0.997535899070151	0.990578050315742	1.91977736304857	2.91288253104221	1.60519404960768	0.75147255444739	0.752633526890112	1.07405836222536	1.85244747663707
3.39404069568639	0.58266569662701	1.23606078760517	1.81803852271388	2.97668484856583	1.63531544873118	1.13776566227119	0.802946221758086	1.30255353331886	1.61320515154652
3.55269458197577	1.39212817763501	0.861392765519409	2.04904799789957	2.38515358105037	1.34054573885903	0.394033929821798	0	1.34419610215047	1.68793339567942
3.37419656115107	0.789364178058343	1.00059113944565	2.00494887241689	2.89257968581086	1.66075858415193	0.852626427628031	0.859594742527494	1.19191101053805	1.75461394023418
3.24149742882443	0.699471712531103	1.23044744767199	1.73010890013999	2.53950891280643	1.48150714717789	0.759821058987909	0.524391086565231	1.31491199335435	1.12467740365396
3.51161231199148	1.07793412094571	0.985469804928462	2.06839766823751	2.79628401155497	1.74692438673169	0.639996677987657	1.11754024002286	1.1896064071333	1.54382423032939
