UR	SR	humanSubj Freq	"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__	Observed Probability p(SR|UR)	t=1.5 Predicted Probability	t=1.5 Error	t=1 Predicted Probability	t=1 Error
málédt	málédtnak	1	0	1	1	0	0	0	0	0	1	0	1	0.584190523	-0.415809477	0.624806474	-0.375193526
málédt	málédtnek	0	1	0	0	0	0	0	0	0	0	0	0	0.415809477	0.415809477	0.375193526	0.375193526
vém	vémnak	0	0	1	1	0	0	1	0	0	0	0	0	0.023354516	0.023354516	0.00368424	0.00368424
vém	vémnek	1	0	0	0	0	0	0	0	0	0	0	1	0.976645484	-0.023354516	0.99631576	-0.00368424
Ir	Irnak	0	0	1	0	0	0	0	1	0	0	0	0	0.136264744	0.136264744	0.058967013	0.058967013
Ir	Irnek	1	0	0	0	0	0	0	0	0	0	0	1	0.863735256	-0.136264744	0.941032987	-0.058967013
fareb	farebnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
fareb	farebnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
Bányorelt	Bányoreltnak	1	0	1	1	1	0	0	0	0	1	0	1	0.159761997	-0.840238003	0.076562197	-0.923437803
Bányorelt	Bányoreltnek	0	1	0	0	0	0	0	0	0	0	0	0	0.840238003	0.840238003	0.923437803	0.923437803
áhbés	áhbésnak	0	0	1	1	0	0	0	0	1	0	0	0	0.708201811	0.708201811	0.790840635	0.790840635
áhbés	áhbésnek	1	1	0	0	0	0	0	0	0	0	0	1	0.291798189	-0.708201811	0.209159365	-0.790840635
gélt	géltnak	0	0	1	1	0	0	0	0	0	1	0	0	0.037207293	0.037207293	0.007539735	0.007539735
gélt	géltnek	1	0	0	0	0	0	0	0	0	0	0	1	0.962792707	-0.037207293	0.992460265	-0.007539735
valell	valellnak	1	0	1	1	1	0	0	1	0	1	0	1	0.084710566	-0.915289434	0.027384811	-0.972615189
valell	valellnek	0	1	0	0	0	0	0	0	0	0	0	0	0.915289434	0.915289434	0.972615189	0.972615189
Unónem	Unónemnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
Unónem	Unónemnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
Szeny	Szenynak	0	0	1	1	1	0	0	1	0	0	0	0	0.008002235	0.008002235	0.000723996	0.000723996
Szeny	Szenynek	1	0	0	0	0	0	0	0	0	0	0	1	0.991997765	-0.008002235	0.999276004	-0.000723996
Mérm	Mérmnak	0	0	1	1	0	0	1	0	0	1	0	0	0.007490012	0.007490012	0.000655144	0.000655144
Mérm	Mérmnek	1	0	0	0	0	0	0	0	0	0	0	1	0.992509988	-0.007490012	0.999344856	-0.000655144
Pé	Pénak	0	0	1	1	0	0	0	0	0	0	0	0	0.109096821	0.109096821	0.041091278	0.041091278
Pé	Pének	1	0	0	0	0	0	0	0	0	0	0	1	0.890903179	-0.109096821	0.958908722	-0.041091278
ortávít	ortávítnak	1	0	1	0	0	0	0	0	0	0	0	1	0.921771741	-0.078228259	0.975872979	-0.024127021
ortávít	ortávítnek	0	1	0	0	0	0	0	0	0	0	0	0	0.078228259	0.078228259	0.024127021	0.024127021
hins	hinsnak	0	0	1	0	0	0	0	0	1	1	0	0	0.052816627	0.052816627	0.012996417	0.012996417
hins	hinsnek	1	0	0	0	0	0	0	0	0	0	0	1	0.947183373	-0.052816627	0.987003583	-0.012996417
mogés	mogésnak	1	0	1	1	0	0	0	0	1	0	0	1	0.708201811	-0.291798189	0.790840635	-0.209159365
mogés	mogésnek	0	1	0	0	0	0	0	0	0	0	0	0	0.291798189	0.291798189	0.209159365	0.209159365
Lazind	Lazindnak	1	0	1	0	0	0	0	0	0	1	0	1	0.788070409	-0.211929591	0.877611113	-0.122388887
Lazind	Lazindnek	0	1	0	0	0	0	0	0	0	0	0	0	0.211929591	0.211929591	0.122388887	0.122388887
dónlozes	dónlozesnak	0	0	1	1	1	0	0	0	1	0	0	0	0.247249975	0.247249975	0.158424179	0.158424179
dónlozes	dónlozesnek	1	1	0	0	0	0	0	0	0	0	0	1	0.752750025	-0.247249975	0.841575821	-0.158424179
Pangim	Pangimnak	1	0	1	0	0	0	1	0	0	0	0	1	0.697059284	-0.302940716	0.777299861	-0.222700139
Pangim	Pangimnek	0	1	0	0	0	0	0	0	0	0	0	0	0.302940716	0.302940716	0.222700139	0.222700139
kupirih	kupirihnak	1	0	1	0	0	1	0	0	0	0	0	1	0.443574711	-0.556425289	0.415809477	-0.584190523
kupirih	kupirihnek	0	1	0	0	0	0	0	0	0	0	0	0	0.556425289	0.556425289	0.584190523	0.584190523
áten	átennak	0	0	1	1	1	0	0	1	0	0	0	0	0.226765369	0.226765369	0.137051293	0.137051293
áten	átennek	1	1	0	0	0	0	0	0	0	0	0	1	0.773234631	-0.226765369	0.862948707	-0.137051293
gyejn	gyejnnak	0	0	1	1	1	0	0	1	0	1	0	0	0.002539277	0.002539277	0.00012843	0.00012843
gyejn	gyejnnek	1	0	0	0	0	0	0	0	0	0	0	1	0.997460723	-0.002539277	0.99987157	-0.00012843
Gyámózemb	Gyámózembnak	0	0	1	1	1	0	1	0	0	1	0	0	0.035800605	0.035800605	0.007103774	0.007103774
Gyámózemb	Gyámózembnek	1	1	0	0	0	0	0	0	0	0	0	1	0.964199395	-0.035800605	0.992896226	-0.007103774
Gye	Gyenak	1	0	1	1	1	0	0	0	0	0	0	1	0.016302499	-0.983697501	0.00212894	-0.99787106
Gye	Gyenek	0	0	0	0	0	0	0	0	0	0	0	0	0.983697501	0.983697501	0.99787106	0.99787106
Vamélelt	Vaméleltnak	0	0	1	1	1	1	0	0	0	1	0	0	0.012700484	0.012700484	0.00145688	0.00145688
Vamélelt	Vaméleltnek	1	1	0	0	0	0	0	0	0	0	0	1	0.987299516	-0.012700484	0.99854312	-0.00145688
Kállém	Kállémnak	0	0	1	1	0	0	1	0	0	0	0	0	0.465057055	0.465057055	0.44769209	0.44769209
Kállém	Kállémnek	1	1	0	0	0	0	0	0	0	0	0	1	0.534942945	-0.465057055	0.55230791	-0.44769209
mardeny	mardenynak	0	0	1	1	1	0	0	1	0	0	0	0	0.226765369	0.226765369	0.137051293	0.137051293
mardeny	mardenynek	1	1	0	0	0	0	0	0	0	0	0	1	0.773234631	-0.226765369	0.862948707	-0.137051293
gázzezis	gázzezisnak	0	0	1	0	0	1	0	0	1	0	0	0	0.302940716	0.302940716	0.222700139	0.222700139
gázzezis	gázzezisnek	1	1	0	0	0	0	0	0	0	0	0	1	0.697059284	-0.302940716	0.777299861	-0.222700139
kicc	kiccnak	0	0	1	0	0	0	0	0	1	1	0	0	0.052816627	0.052816627	0.012996417	0.012996417
kicc	kiccnek	1	0	0	0	0	0	0	0	0	0	0	1	0.947183373	-0.052816627	0.987003583	-0.012996417
Árargen	Árargennak	0	0	1	1	1	0	0	1	0	0	0	0	0.226765369	0.226765369	0.137051293	0.137051293
Árargen	Árargennek	1	1	0	0	0	0	0	0	0	0	0	1	0.773234631	-0.226765369	0.862948707	-0.137051293
káres	káresnak	0	0	1	1	1	0	0	0	1	0	0	0	0.247249975	0.247249975	0.158424179	0.158424179
káres	káresnek	1	1	0	0	0	0	0	0	0	0	0	1	0.752750025	-0.247249975	0.841575821	-0.158424179
Grarki	Grarkinak	1	0	1	0	0	0	0	0	0	0	0	1	0.921771741	-0.078228259	0.975872979	-0.024127021
Grarki	Grarkinek	0	1	0	0	0	0	0	0	0	0	0	0	0.078228259	0.078228259	0.024127021	0.024127021
káteny	kátenynak	0	0	1	1	1	0	0	1	0	0	0	0	0.226765369	0.226765369	0.137051293	0.137051293
káteny	kátenynek	1	1	0	0	0	0	0	0	0	0	0	1	0.773234631	-0.226765369	0.862948707	-0.137051293
dakelc	dakelcnak	1	0	1	1	1	0	0	0	1	1	0	1	0.093921496	-0.906078504	0.032295465	-0.967704535
dakelc	dakelcnek	0	1	0	0	0	0	0	0	0	0	0	0	0.906078504	0.906078504	0.967704535	0.967704535
óndiszles	óndiszlesnak	0	0	1	1	1	1	0	0	1	0	0	0	0.021739042	0.021739042	0.003301735	0.003301735
óndiszles	óndiszlesnek	1	1	0	0	0	0	0	0	0	0	0	1	0.978260958	-0.021739042	0.996698265	-0.003301735
Odvidt	Odvidtnak	0	0	1	0	0	0	0	0	0	1	0	0	0.788070409	0.788070409	0.877611113	0.877611113
Odvidt	Odvidtnek	1	1	0	0	0	0	0	0	0	0	0	1	0.211929591	-0.788070409	0.122388887	-0.877611113
Ogyet	Ogyetnak	0	0	1	1	1	0	0	0	0	0	0	0	0.375975261	0.375975261	0.318646266	0.318646266
Ogyet	Ogyetnek	1	1	0	0	0	0	0	0	0	0	0	1	0.624024739	-0.375975261	0.681353734	-0.318646266
Csútotibb	Csútotibbnak	1	0	1	0	0	0	1	0	0	1	0	1	0.420675748	-0.579324252	0.382252125	-0.617747875
Csútotibb	Csútotibbnek	0	1	0	0	0	0	0	0	0	0	0	0	0.579324252	0.579324252	0.617747875	0.617747875
Alérny	Alérnynak	0	0	1	1	0	0	0	1	0	1	0	0	0.406126897	0.406126897	0.361236825	0.361236825
Alérny	Alérnynek	1	1	0	0	0	0	0	0	0	0	0	1	0.593873103	-0.406126897	0.638763175	-0.361236825
fólitt	fólittnak	0	0	1	0	0	0	0	0	0	1	0	0	0.788070409	0.788070409	0.877611113	0.877611113
fólitt	fólittnek	1	1	0	0	0	0	0	0	0	0	0	1	0.211929591	-0.788070409	0.122388887	-0.877611113
álleb	állebnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
álleb	állebnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
nyem	nyemnak	0	0	1	1	1	0	1	0	0	0	0	0	0.001612916	0.001612916	9.20E-05	9.20E-05
nyem	nyemnek	1	0	0	0	0	0	0	0	0	0	0	0.5	0.498387084	-0.001612916	0.499907964	-9.20E-05
Átúngyér	Átúngyérnak	1	0	1	1	0	0	0	1	0	0	0	1	0.684241519	-0.315758481	0.761332715	-0.238667285
