UR	SR	humanSubj Freq	"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__	Observed Probability p(SR|UR)	t=1.5 Predicted Probability	t=1.5 Error	t=1 Predicted Probability	t=1 Error
Vartegyzelt	Vartegyzeltnak	0	0	1	1	1	1	0	0	0	1	0	0	0.012700484	0.012700484	0.00145688	0.00145688
Vartegyzelt	Vartegyzeltnek	1	1	0	0	0	0	0	0	0	0	0	1	0.987299516	-0.012700484	0.99854312	-0.00145688
Adattény	Adatténynak	1	0	1	1	0	0	0	1	0	0	0	1	0.684241519	-0.315758481	0.761332715	-0.238667285
Adattény	Adatténynek	0	1	0	0	0	0	0	0	0	0	0	0	0.315758481	0.315758481	0.238667285	0.238667285
Sortek	Sorteknak	1	0	1	1	1	0	0	0	0	0	0	1	0.375975261	-0.624024739	0.318646266	-0.681353734
Sortek	Sorteknek	0	1	0	0	0	0	0	0	0	0	0	0	0.624024739	0.624024739	0.681353734	0.681353734
Mágéb	Mágébnak	1	0	1	1	0	0	1	0	0	0	0	1	0.465057055	-0.534942945	0.44769209	-0.55230791
Mágéb	Mágébnek	0	1	0	0	0	0	0	0	0	0	0	0	0.534942945	0.534942945	0.55230791	0.55230791
víny	vínynak	0	0	1	0	0	0	0	1	0	0	0	0	0.441929894	0.441929894	0.413382421	0.413382421
víny	vínynek	1	0	0	0	0	0	0	0	0	0	1	1	0.558070106	-0.441929894	0.586617579	-0.413382421
horedvebb	horedvebbnak	0	0	1	1	1	1	1	0	0	1	0	0	0.002505729	0.002505729	0.000125887	0.000125887
horedvebb	horedvebbnek	1	1	0	0	0	0	0	0	0	0	0	1	0.997494271	-0.002505729	0.999874113	-0.000125887
bohenny	bohennynak	0	0	1	1	1	0	0	1	0	1	0	0	0.084710566	0.084710566	0.027384811	0.027384811
bohenny	bohennynek	1	1	0	0	0	0	0	0	0	0	0	1	0.915289434	-0.084710566	0.972615189	-0.027384811
Orandilt	Orandiltnak	1	0	1	0	0	0	0	0	0	1	0	1	0.788070409	-0.211929591	0.877611113	-0.122388887
Orandilt	Orandiltnek	0	1	0	0	0	0	0	0	0	0	0	0	0.211929591	0.211929591	0.122388887	0.122388887
ábbelés	ábbelésnak	0	0	1	1	0	1	0	0	1	0	0	0	0.141041472	0.141041472	0.062385851	0.062385851
ábbelés	ábbelésnek	1	1	0	0	0	0	0	0	0	0	0	1	0.858958528	-0.141041472	0.937614149	-0.062385851
Ses	Sesnak	0	0	1	1	1	0	0	0	1	0	0	0	0.008953946	0.008953946	0.000858041	0.000858041
Ses	Sesnek	1	0	0	0	0	0	0	0	0	0	0	1	0.991046054	-0.008953946	0.999141959	-0.000858041
szongens	szongensnak	0	0	1	1	1	0	0	0	1	1	0	0	0.093921496	0.093921496	0.032295465	0.032295465
szongens	szongensnek	1	1	0	0	0	0	0	0	0	0	0	1	0.906078504	-0.093921496	0.967704535	-0.032295465
gejn	gejnnak	0	0	1	1	1	0	0	1	0	1	0	0	0.002539277	0.002539277	0.00012843	0.00012843
gejn	gejnnek	1	0	0	0	0	0	0	0	0	0	0	1	0.997460723	-0.002539277	0.99987157	-0.00012843
nubóner	nubónernak	1	0	1	1	1	0	0	1	0	0	0	1	0.226765369	-0.773234631	0.137051293	-0.862948707
nubóner	nubónernek	0	1	0	0	0	0	0	0	0	0	0	0	0.773234631	0.773234631	0.862948707	0.862948707
Kórádég	Kórádégnak	1	0	1	1	0	0	0	0	0	0	0	1	0.816578061	-0.183421939	0.903784458	-0.096215542
Kórádég	Kórádégnek	0	1	0	0	0	0	0	0	0	0	0	0	0.183421939	0.183421939	0.096215542	0.096215542
Ogyin	Ogyinnak	1	0	1	0	0	0	0	1	0	0	0	1	0.851531878	-0.148468122	0.932137706	-0.067862294
Ogyin	Ogyinnek	0	1	0	0	0	0	0	0	0	0	0	0	0.148468122	0.148468122	0.067862294	0.067862294
Szúlaríkt	Szúlaríktnak	1	0	1	0	0	0	0	0	0	1	0	1	0.788070409	-0.211929591	0.877611113	-0.122388887
Szúlaríkt	Szúlaríktnek	0	1	0	0	0	0	0	0	0	0	0	0	0.211929591	0.211929591	0.122388887	0.122388887
Ordirep	Ordirepnak	0	0	1	1	1	1	1	0	0	0	0	0	0.007897084	0.007897084	0.00070967	0.00070967
Ordirep	Ordirepnek	1	1	0	0	0	0	0	0	0	0	0	1	0.992102916	-0.007897084	0.99929033	-0.00070967
ompi	ompinak	1	0	1	0	0	0	0	0	0	0	0	1	0.921771741	-0.078228259	0.975872979	-0.024127021
ompi	ompinek	0	1	0	0	0	0	0	0	0	0	0	0	0.078228259	0.078228259	0.024127021	0.024127021
váézinb	váézinbnak	0	0	1	0	0	1	1	0	0	1	0	0	0.04682714	0.04682714	0.01077173	0.01077173
váézinb	váézinbnek	1	1	0	0	0	0	0	0	0	0	0	1	0.95317286	-0.04682714	0.98922827	-0.01077173
kíp	kípnak	0	0	1	0	0	0	1	0	0	0	0	0	0.241098457	0.241098457	0.151871164	0.151871164
kíp	kípnek	1	0	0	0	0	0	0	0	0	0	1	1	0.758901543	-0.241098457	0.848128836	-0.151871164
Praes	Praesnak	0	0	1	1	1	0	0	0	1	0	0	0	0.247249975	0.247249975	0.158424179	0.158424179
Praes	Praesnek	1	1	0	0	0	0	0	0	0	0	0	1	0.752750025	-0.247249975	0.841575821	-0.158424179
jogepsind	jogepsindnak	0	0	1	0	0	1	0	0	0	1	0	0	0.201009	0.201009	0.112047039	0.112047039
jogepsind	jogepsindnek	1	1	0	0	0	0	0	0	0	0	0	1	0.798991	-0.201009	0.887952961	-0.112047039
Vukcén	Vukcénnak	0	0	1	1	0	0	0	1	0	0	0	0	0.684241519	0.684241519	0.761332715	0.761332715
Vukcén	Vukcénnek	1	1	0	0	0	0	0	0	0	0	0	1	0.315758481	-0.684241519	0.238667285	-0.761332715
katir	katirnak	1	0	1	0	0	0	0	1	0	0	0	1	0.851531878	-0.148468122	0.932137706	-0.067862294
katir	katirnek	0	1	0	0	0	0	0	0	0	0	0	0	0.148468122	0.148468122	0.067862294	0.067862294
lórepém	lórepémnak	0	0	1	1	0	1	1	0	0	0	0	0	0.05554926	0.05554926	0.014063627	0.014063627
lórepém	lórepémnek	1	1	0	0	0	0	0	0	0	0	0	1	0.94445074	-0.05554926	0.985936373	-0.014063627
sármirc	sármircnak	0	0	1	0	0	0	0	0	1	1	0	0	0.669664197	0.669664197	0.742690545	0.742690545
sármirc	sármircnek	1	1	0	0	0	0	0	0	0	0	0	1	0.330335803	-0.669664197	0.257309455	-0.742690545
Krarenk	Krarenknak	0	0	1	1	1	0	0	0	0	1	0	0	0.159761997	0.159761997	0.076562197	0.076562197
Krarenk	Krarenknek	1	1	0	0	0	0	0	0	0	0	0	1	0.840238003	-0.159761997	0.923437803	-0.076562197
Ámizlis	Ámizlisnak	1	0	1	0	0	1	0	0	1	0	0	1	0.302940716	-0.697059284	0.222700139	-0.777299861
Ámizlis	Ámizlisnek	0	1	0	0	0	0	0	0	0	0	0	0	0.697059284	0.697059284	0.777299861	0.777299861
Rogyalip	Rogyalipnak	1	0	1	0	0	0	1	0	0	0	0	1	0.697059284	-0.302940716	0.777299861	-0.222700139
Rogyalip	Rogyalipnek	0	1	0	0	0	0	0	0	0	0	0	0	0.302940716	0.302940716	0.222700139	0.222700139
Túrgogé	Túrgogénak	1	0	1	1	0	0	0	0	0	0	0	1	0.816578061	-0.183421939	0.903784458	-0.096215542
Túrgogé	Túrgogének	0	1	0	0	0	0	0	0	0	0	0	0	0.183421939	0.183421939	0.096215542	0.096215542
gémp	gémpnak	0	0	1	1	0	0	1	0	0	1	0	0	0.007490012	0.007490012	0.000655144	0.000655144
gémp	gémpnek	1	0	0	0	0	0	0	0	0	0	0	1	0.992509988	-0.007490012	0.999344856	-0.000655144
toktirn	toktirnnak	1	0	1	0	0	0	0	1	0	1	0	1	0.644129601	-0.355870399	0.708890173	-0.291109827
toktirn	toktirnnek	0	1	0	0	0	0	0	0	0	0	0	0	0.355870399	0.355870399	0.291109827	0.291109827
kóaze	kóazenak	1	0	1	1	1	0	0	0	0	0	0	1	0.375975261	-0.624024739	0.318646266	-0.681353734
kóaze	kóazenek	0	1	0	0	0	0	0	0	0	0	0	0	0.624024739	0.624024739	0.681353734	0.681353734
Malmihénk	Malmihénknak	0	0	1	1	0	1	0	0	0	1	0	0	0.086801186	0.086801186	0.028470588	0.028470588
Malmihénk	Malmihénknek	1	1	0	0	0	0	0	0	0	0	0	1	0.913198814	-0.086801186	0.971529412	-0.028470588
nyakett	nyakettnak	0	0	1	1	1	0	0	0	0	1	0	0	0.159761997	0.159761997	0.076562197	0.076562197
nyakett	nyakettnek	1	1	0	0	0	0	0	0	0	0	0	1	0.840238003	-0.159761997	0.923437803	-0.076562197
Kámtem	Kámtemnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
Kámtem	Kámtemnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
kárék	káréknak	1	0	1	1	0	0	0	0	0	0	0	1	0.816578061	-0.183421939	0.903784458	-0.096215542
kárék	káréknek	0	1	0	0	0	0	0	0	0	0	0	0	0.183421939	0.183421939	0.096215542	0.096215542
olis	olisnak	1	0	1	0	0	0	0	0	1	0	0	1	0.865296948	-0.134703052	0.942133045	-0.057866955
olis	olisnek	0	1	0	0	0	0	0	0	0	0	0	0	0.134703052	0.134703052	0.057866955	0.057866955
mosirer	mosirernak	0	0	1	1	1	1	0	1	0	0	0	0	0.019455085	0.019455085	0.002786996	0.002786996
mosirer	mosirernek	1	1	0	0	0	0	0	0	0	0	0	1	0.980544915	-0.019455085	0.997213004	-0.002786996
Ádegelc	Ádegelcnak	0	0	1	1	1	1	0	0	1	1	0	0	0.006964089	0.006964089	0.00058694	0.00058694
Ádegelc	Ádegelcnek	1	1	0	0	0	0	0	0	0	0	0	1	0.993035911	-0.006964089	0.99941306	-0.00058694
Kotársin	Kotársinnak	1	0	1	0	0	0	0	1	0	0	0	1	0.851531878	-0.148468122	0.932137706	-0.067862294
Kotársin	Kotársinnek	0	1	0	0	0	0	0	0	0	0	0	0	0.148468122	0.148468122	0.067862294	0.067862294
Ulólmít	Ulólmítnak	1	0	1	0	0	0	0	0	0	0	0	1	0.921771741	-0.078228259	0.975872979	-0.024127021
Ulólmít	Ulólmítnek	0	1	0	0	0	0	0	0	0	0	0	0	0.078228259	0.078228259	0.024127021	0.024127021
Krenny	Krennynak	0	0	1	1	1	0	0	1	0	1	0	0	0.002539277	0.002539277	0.00012843	0.00012843
Krenny	Krennynek	1	0	0	0	0	0	0	0	0	0	0	1	0.997460723	-0.002539277	0.99987157	-0.00012843
hem	hemnak	0	0	1	1	1	0	1	0	0	0	0	0	0.003225832	0.003225832	0.000184072	0.000184072
hem	hemnek	1	0	0	0	0	0	0	0	0	0	0	1	0.996774168	-0.003225832	0.999815928	-0.000184072
kodojtíbb	kodojtíbbnak	1	0	1	0	0	0	1	0	0	1	0	1	0.420675748	-0.579324252	0.382252125	-0.617747875
kodojtíbb	kodojtíbbnek	0	1	0	0	0	0	0	0	0	0	0	0	0.579324252	0.579324252	0.617747875	0.617747875
kes	kesnak	0	0	1	1	1	0	0	0	1	0	0	0	0.002238487	0.002238487	0.00021451	0.00021451
kes	kesnek	1	0	0	0	0	0	0	0	0	0	0	0.25	0.247761513	-0.002238487	0.24978549	-0.00021451
Darúti	Darútinak	1	0	1	0	0	0	0	0	0	0	0	1	0.921771741	-0.078228259	0.975872979	-0.024127021
Darúti	Darútinek	0	1	0	0	0	0	0	0	0	0	0	0	0.078228259	0.078228259	0.024127021	0.024127021
togykálirs	togykálirsnak	0	0	1	0	0	0	0	0	1	1	0	0	0.669664197	0.669664197	0.742690545	0.742690545
togykálirs	togykálirsnek	1	1	0	0	0	0	0	0	0	0	0	1	0.330335803	-0.669664197	0.257309455	-0.742690545
Ém	Émnak	0	0	1	1	0	0	1	0	0	0	0	0	0.005838629	0.005838629	0.00092106	0.00092106
Ém	Émnek	1	0	0	0	0	0	0	0	0	0	0	0.25	0.244161371	-0.005838629	0.24907894	-0.00092106
fábbejn	fábbejnnak	0	0	1	1	1	0	0	1	0	1	0	0	0.084710566	0.084710566	0.027384811	0.027384811
fábbejn	fábbejnnek	1	1	0	0	0	0	0	0	0	0	0	1	0.915289434	-0.084710566	0.972615189	-0.027384811
hafrezin	hafrezinnak	0	0	1	0	0	1	0	1	0	0	0	0	0.279555676	0.279555676	0.194661584	0.194661584
hafrezin	hafrezinnek	1	1	0	0	0	0	0	0	0	0	0	1	0.720444324	-0.279555676	0.805338416	-0.194661584
tánsíbb	tánsíbbnak	1	0	1	0	0	0	1	0	0	1	0	1	0.420675748	-0.579324252	0.382252125	-0.617747875
tánsíbb	tánsíbbnek	0	1	0	0	0	0	0	0	0	0	0	0	0.579324252	0.579324252	0.617747875	0.617747875
Bís	Bísnak	0	0	1	0	0	0	0	0	1	0	0	0	0.470035948	0.470035948	0.455121108	0.455121108
Bís	Bísnek	1	0	0	0	0	0	0	0	0	0	1	1	0.529964052	-0.470035948	0.544878892	-0.455121108
Vógláfitt	Vógláfittnak	1	0	1	0	0	0	0	0	0	1	0	1	0.788070409	-0.211929591	0.877611113	-0.122388887
Vógláfitt	Vógláfittnek	0	1	0	0	0	0	0	0	0	0	0	0	0.211929591	0.211929591	0.122388887	0.122388887
Fávi	Fávinak	1	0	1	0	0	0	0	0	0	0	0	1	0.921771741	-0.078228259	0.975872979	-0.024127021
Fávi	Fávinek	0	1	0	0	0	0	0	0	0	0	0	0	0.078228259	0.078228259	0.024127021	0.024127021
Gyogem	Gyogemnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
Gyogem	Gyogemnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
pókléles	póklélesnak	0	0	1	1	1	1	0	0	1	0	0	0	0.021739042	0.021739042	0.003301735	0.003301735
pókléles	póklélesnek	1	1	0	0	0	0	0	0	0	0	0	1	0.978260958	-0.021739042	0.996698265	-0.003301735
varveszt	varvesztnak	0	0	1	1	1	0	0	0	0	1	0	0	0.159761997	0.159761997	0.076562197	0.076562197
varveszt	varvesztnek	1	1	0	0	0	0	0	0	0	0	0	1	0.840238003	-0.159761997	0.923437803	-0.076562197
csuékir	csuékirnak	0	0	1	0	0	1	0	1	0	0	0	0	0.279555676	0.279555676	0.194661584	0.194661584
csuékir	csuékirnek	1	1	0	0	0	0	0	0	0	0	0	1	0.720444324	-0.279555676	0.805338416	-0.194661584
Zántell	Zántellnak	0	0	1	1	1	0	0	1	0	1	0	0	0.084710566	0.084710566	0.027384811	0.027384811
Zántell	Zántellnek	1	1	0	0	0	0	0	0	0	0	0	1	0.915289434	-0.084710566	0.972615189	-0.027384811
hálkáltem	hálkáltemnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
hálkáltem	hálkáltemnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
Mánótér	Mánótérnak	0	0	1	1	0	0	0	1	0	0	0	0	0.684241519	0.684241519	0.761332715	0.761332715
Mánótér	Mánótérnek	1	1	0	0	0	0	0	0	0	0	0	1	0.315758481	-0.684241519	0.238667285	-0.761332715
zsóners	zsónersnak	0	0	1	1	1	0	0	0	1	1	0	0	0.093921496	0.093921496	0.032295465	0.032295465
zsóners	zsónersnek	1	1	0	0	0	0	0	0	0	0	0	1	0.906078504	-0.093921496	0.967704535	-0.032295465
trálekspes	trálekspesnak	0	0	1	1	1	1	0	0	1	0	0	0	0.021739042	0.021739042	0.003301735	0.003301735
trálekspes	trálekspesnek	1	1	0	0	0	0	0	0	0	0	0	1	0.978260958	-0.021739042	0.996698265	-0.003301735
csolferet	csolferetnak	0	0	1	1	1	1	0	0	0	0	0	0	0.039165723	0.039165723	0.008162571	0.008162571
csolferet	csolferetnek	1	1	0	0	0	0	0	0	0	0	0	1	0.960834277	-0.039165723	0.991837429	-0.008162571
Kénk	Kénknak	0	0	1	1	0	0	0	0	0	1	0	0	0.037207293	0.037207293	0.007539735	0.007539735
Kénk	Kénknek	1	0	0	0	0	0	0	0	0	0	0	1	0.962792707	-0.037207293	0.992460265	-0.007539735
Szapegény	Szapegénynak	0	0	1	1	0	1	0	1	0	0	0	0	0.127861566	0.127861566	0.053151136	0.053151136
Szapegény	Szapegénynek	1	1	0	0	0	0	0	0	0	0	0	1	0.872138434	-0.127861566	0.946848864	-0.053151136
Száktérm	Száktérmnak	0	0	1	1	0	0	1	0	0	1	0	0	0.215289144	0.215289144	0.125647857	0.125647857
Száktérm	Száktérmnek	1	1	0	0	0	0	0	0	0	0	0	1	0.784710856	-0.215289144	0.874352143	-0.125647857
Papem	Papemnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
Papem	Papemnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
csogek	csogeknak	0	0	1	1	1	0	0	0	0	0	0	0	0.375975261	0.375975261	0.318646266	0.318646266
csogek	csogeknek	1	1	0	0	0	0	0	0	0	0	0	1	0.624024739	-0.375975261	0.681353734	-0.318646266
kec	kecnak	0	0	1	1	1	0	0	0	1	0	0	0	0.008953946	0.008953946	0.000858041	0.000858041
kec	kecnek	1	0	0	0	0	0	0	0	0	0	0	1	0.991046054	-0.008953946	0.999141959	-0.000858041
szallotbérf	szallotbérfnak	0	0	1	1	0	0	0	0	0	1	0	0	0.584190523	0.584190523	0.624806474	0.624806474
szallotbérf	szallotbérfnek	1	1	0	0	0	0	0	0	0	0	0	1	0.415809477	-0.584190523	0.375193526	-0.624806474
Nanye	Nanyenak	1	0	1	1	1	0	0	0	0	0	0	1	0.375975261	-0.624024739	0.318646266	-0.681353734
Nanye	Nanyenek	0	1	0	0	0	0	0	0	0	0	0	0	0.624024739	0.624024739	0.681353734	0.681353734
hossassém	hossassémnak	0	0	1	1	0	0	1	0	0	0	0	0	0.465057055	0.465057055	0.44769209	0.44769209
hossassém	hossassémnek	1	1	0	0	0	0	0	0	0	0	0	1	0.534942945	-0.465057055	0.55230791	-0.44769209
Krís	Krísnak	0	0	1	0	0	0	0	0	1	0	0	0	0.470035948	0.470035948	0.455121108	0.455121108
Krís	Krísnek	1	0	0	0	0	0	0	0	0	0	1	1	0.529964052	-0.470035948	0.544878892	-0.455121108
asosilt	asosiltnak	0	0	1	0	0	0	0	0	0	1	0	0	0.788070409	0.788070409	0.877611113	0.877611113
asosilt	asosiltnek	1	1	0	0	0	0	0	0	0	0	0	1	0.211929591	-0.788070409	0.122388887	-0.877611113
nászten	násztennak	0	0	1	1	1	0	0	1	0	0	0	0	0.226765369	0.226765369	0.137051293	0.137051293
nászten	násztennek	1	1	0	0	0	0	0	0	0	0	0	1	0.773234631	-0.226765369	0.862948707	-0.137051293
hudévell	hudévellnak	0	0	1	1	1	1	0	1	0	1	0	0	0.006222551	0.006222551	0.000495226	0.000495226
hudévell	hudévellnek	1	1	0	0	0	0	0	0	0	0	0	1	0.993777449	-0.006222551	0.999504774	-0.000495226
Heszt	Hesztnak	0	0	1	1	1	0	0	0	0	1	0	0	0.005202845	0.005202845	0.00037809	0.00037809
Heszt	Hesztnek	1	0	0	0	0	0	0	0	0	0	0	1	0.994797155	-0.005202845	0.99962191	-0.00037809
Kens	Kensnak	0	0	1	1	1	0	0	0	1	1	0	0	0.001421569	0.001421569	7.61E-05	7.61E-05
Kens	Kensnek	1	0	0	0	0	0	0	0	0	0	0	0.5	0.498578431	-0.001421569	0.499923888	-7.61E-05
Nyumlés	Nyumlésnak	0	0	1	1	0	0	0	0	1	0	0	0	0.708201811	0.708201811	0.790840635	0.790840635
Nyumlés	Nyumlésnek	1	1	0	0	0	0	0	0	0	0	0	1	0.291798189	-0.708201811	0.209159365	-0.790840635
Zálaszebb	Zálaszebbnak	0	0	1	1	1	0	1	0	0	1	0	0	0.035800605	0.035800605	0.007103774	0.007103774
Zálaszebb	Zálaszebbnek	1	1	0	0	0	0	0	0	0	0	0	1	0.964199395	-0.035800605	0.992896226	-0.007103774
honkresztim	honkresztimnak	0	0	1	0	0	1	1	0	0	0	0	0	0.134703052	0.134703052	0.057866955	0.057866955
honkresztim	honkresztimnek	1	1	0	0	0	0	0	0	0	0	0	1	0.865296948	-0.134703052	0.942133045	-0.057866955
oltegeny	oltegenynak	0	0	1	1	1	1	0	1	0	0	0	0	0.019455085	0.019455085	0.002786996	0.002786996
oltegeny	oltegenynek	1	1	0	0	0	0	0	0	0	0	0	1	0.980544915	-0.019455085	0.997213004	-0.002786996
kagópzev	kagópzevnak	0	0	1	1	1	0	0	0	0	0	0	0	0.375975261	0.375975261	0.318646266	0.318646266
kagópzev	kagópzevnek	1	1	0	0	0	0	0	0	0	0	0	1	0.624024739	-0.375975261	0.681353734	-0.318646266
Análcsis	Análcsisnak	1	0	1	0	0	0	0	0	1	0	0	1	0.865296948	-0.134703052	0.942133045	-0.057866955
Análcsis	Análcsisnek	0	1	0	0	0	0	0	0	0	0	0	0	0.134703052	0.134703052	0.057866955	0.057866955
hápsugég	hápsugégnak	1	0	1	1	0	0	0	0	0	0	0	1	0.816578061	-0.183421939	0.903784458	-0.096215542
hápsugég	hápsugégnek	0	1	0	0	0	0	0	0	0	0	0	0	0.183421939	0.183421939	0.096215542	0.096215542
Azde	Azdenak	1	0	1	1	1	0	0	0	0	0	0	1	0.375975261	-0.624024739	0.318646266	-0.681353734
Azde	Azdenek	0	1	0	0	0	0	0	0	0	0	0	0	0.624024739	0.624024739	0.681353734	0.681353734
arkatlen	arkatlennak	1	0	1	1	1	0	0	1	0	0	0	1	0.226765369	-0.773234631	0.137051293	-0.862948707
arkatlen	arkatlennek	0	1	0	0	0	0	0	0	0	0	0	0	0.773234631	0.773234631	0.862948707	0.862948707
várcenks	várcenksnak	1	0	1	1	1	0	0	0	1	1	0	1	0.093921496	-0.906078504	0.032295465	-0.967704535
várcenks	várcenksnek	0	1	0	0	0	0	0	0	0	0	0	0	0.906078504	0.906078504	0.967704535	0.967704535
makell	makellnak	1	0	1	1	1	0	0	1	0	1	0	1	0.084710566	-0.915289434	0.027384811	-0.972615189
makell	makellnek	0	1	0	0	0	0	0	0	0	0	0	0	0.915289434	0.915289434	0.972615189	0.972615189
Soktib	Soktibnak	1	0	1	0	0	0	1	0	0	0	0	1	0.697059284	-0.302940716	0.777299861	-0.222700139
Soktib	Soktibnek	0	1	0	0	0	0	0	0	0	0	0	0	0.302940716	0.302940716	0.222700139	0.222700139
Pákelp	Pákelpnak	0	0	1	1	1	0	1	0	0	1	0	0	0.035800605	0.035800605	0.007103774	0.007103774
Pákelp	Pákelpnek	1	1	0	0	0	0	0	0	0	0	0	1	0.964199395	-0.035800605	0.992896226	-0.007103774
Csaszteng	Csasztengnak	1	0	1	1	1	0	0	0	0	1	0	1	0.159761997	-0.840238003	0.076562197	-0.923437803
Csaszteng	Csasztengnek	0	1	0	0	0	0	0	0	0	0	0	0	0.840238003	0.840238003	0.923437803	0.923437803
Fétty	Féttynak	1	0	1	1	0	0	0	0	0	1	0	1	0.037207293	-0.962792707	0.007539735	-0.992460265
Fétty	Féttynek	0	0	0	0	0	0	0	0	0	0	0	0	0.962792707	0.962792707	0.992460265	0.992460265
ormem	ormemnak	0	0	1	1	1	0	1	0	0	0	0	0	0.10526939	0.10526939	0.038791134	0.038791134
ormem	ormemnek	1	1	0	0	0	0	0	0	0	0	0	1	0.89473061	-0.10526939	0.961208866	-0.038791134
gés	gésnak	0	0	1	1	0	0	0	0	1	0	0	0	0.062581116	0.062581116	0.016956536	0.016956536
gés	gésnek	1	0	0	0	0	0	0	0	0	0	0	1	0.937418884	-0.062581116	0.983043464	-0.016956536
cér	cérnak	0	0	1	1	0	0	0	1	0	0	0	0	0.056252934	0.056252934	0.014343656	0.014343656
cér	cérnek	1	0	0	0	0	0	0	0	0	0	0	1	0.943747066	-0.056252934	0.985656344	-0.014343656
Mámés	Mámésnak	1	0	1	1	0	0	0	0	1	0	0	1	0.708201811	-0.291798189	0.790840635	-0.209159365
Mámés	Mámésnek	0	1	0	0	0	0	0	0	0	0	0	0	0.291798189	0.291798189	0.209159365	0.209159365
zátém	zátémnak	0	0	1	1	0	0	1	0	0	0	0	0	0.465057055	0.465057055	0.44769209	0.44769209
zátém	zátémnek	1	1	0	0	0	0	0	0	0	0	0	1	0.534942945	-0.465057055	0.55230791	-0.44769209
Atorsel	Atorselnak	0	0	1	1	1	0	0	1	0	0	0	0	0.226765369	0.226765369	0.137051293	0.137051293
Atorsel	Atorselnek	1	1	0	0	0	0	0	0	0	0	0	1	0.773234631	-0.226765369	0.862948707	-0.137051293
nyolkámékt	nyolkáméktnak	0	0	1	1	0	0	0	0	0	1	0	0	0.584190523	0.584190523	0.624806474	0.624806474
nyolkámékt	nyolkáméktnek	1	1	0	0	0	0	0	0	0	0	0	1	0.415809477	-0.584190523	0.375193526	-0.624806474
nolgenyemp	nolgenyempnak	1	0	1	1	1	1	1	0	0	1	0	1	0.002505729	-0.997494271	0.000125887	-0.999874113
nolgenyemp	nolgenyempnek	0	1	0	0	0	0	0	0	0	0	0	0	0.997494271	0.997494271	0.999874113	0.999874113
csely	cselynak	0	0	1	1	1	0	0	0	0	0	0	0	0.016302499	0.016302499	0.00212894	0.00212894
csely	cselynek	1	0	0	0	0	0	0	0	0	0	0	1	0.983697501	-0.016302499	0.99787106	-0.00212894
Vé	Vénak	0	0	1	1	0	0	0	0	0	0	0	0	0.109096821	0.109096821	0.041091278	0.041091278
Vé	Vének	1	0	0	0	0	0	0	0	0	0	0	1	0.890903179	-0.109096821	0.958908722	-0.041091278
Bázarvém	Bázarvémnak	1	0	1	1	0	0	1	0	0	0	0	1	0.465057055	-0.534942945	0.44769209	-0.55230791
Bázarvém	Bázarvémnek	0	1	0	0	0	0	0	0	0	0	0	0	0.534942945	0.534942945	0.55230791	0.55230791
Linny	Linnynak	1	0	1	0	0	0	0	1	0	1	0	1	0.047425873	-0.952574127	0.010986943	-0.989013057
Linny	Linnynek	0	0	0	0	0	0	0	0	0	0	0	0	0.952574127	0.952574127	0.989013057	0.989013057
Mabánen	Mabánennak	1	0	1	1	1	0	0	1	0	0	0	1	0.226765369	-0.773234631	0.137051293	-0.862948707
Mabánen	Mabánennek	0	1	0	0	0	0	0	0	0	0	0	0	0.773234631	0.773234631	0.862948707	0.862948707
éng	éngnak	0	0	1	1	0	0	0	0	0	1	0	0	0.037207293	0.037207293	0.007539735	0.007539735
éng	éngnek	1	0	0	0	0	0	0	0	0	0	0	1	0.962792707	-0.037207293	0.992460265	-0.007539735
teks	teksnak	0	0	1	1	1	0	0	0	1	1	0	0	0.002843137	0.002843137	0.000152225	0.000152225
teks	teksnek	1	0	0	0	0	0	0	0	0	0	0	1	0.997156863	-0.002843137	0.999847775	-0.000152225
kes	kesnak	0	0	1	1	1	0	0	0	1	0	0	0	0.002238487	0.002238487	0.00021451	0.00021451
kes	kesnek	1	0	0	0	0	0	0	0	0	0	0	0.25	0.247761513	-0.002238487	0.24978549	-0.00021451
Jagílgy	Jagílgynak	1	0	1	0	0	0	0	0	0	1	0	1	0.788070409	-0.211929591	0.877611113	-0.122388887
Jagílgy	Jagílgynek	0	1	0	0	0	0	0	0	0	0	0	0	0.211929591	0.211929591	0.122388887	0.122388887
